Date,Adj Close,Day
2019-10-15,249.876511,"2,213"
2019-10-16,249.746964,"2,214"
2019-10-17,250.024399,"2,215"
2019-10-18,247.649139,"2,216"
2019-10-21,248.176544,"2,219"
2019-10-22,247.815628,"2,220"
2019-10-23,248.204346,"2,221"
2019-10-24,247.963837,"2,222"
2019-10-25,249.462692,"2,223"
2019-10-28,250.582367,"2,226"
2019-10-29,250.637894,"2,227"
2019-10-30,251.442871,"2,228"
2019-10-31,250.277039,"2,229"
2019-11-01,252.92337,"2,230"
2019-11-04,254.042953,"2,233"
2019-11-05,254.283646,"2,234"
2019-11-06,254.274261,"2,235"
2019-11-07,256.356323,"2,236"
2019-11-08,256.374756,"2,237"
2019-11-11,256.458099,"2,240"
2019-11-12,256.5784,"2,241"
2019-11-13,257.281555,"2,242"
2019-11-14,257.448059,"2,243"
2019-11-15,259.509918,"2,244"
2019-11-18,259.815826,"2,247"
2019-11-19,258.944366,"2,248"
2019-11-20,257.896881,"2,249"
2019-11-21,257.451813,"2,250"
2019-11-22,258.508636,"2,251"
2019-11-25,260.30719,"2,254"
2019-11-26,260.826294,"2,255"
2019-11-27,261.33606,"2,256"
2019-11-29,260.446106,"2,258"
2019-12-02,257.896881,"2,261"
2019-12-03,255.403152,"2,262"
2019-12-04,256.830811,"2,263"
2019-12-05,257.118042,"2,264"
2019-12-06,260.214294,"2,265"
2019-12-09,259.342987,"2,268"
2019-12-10,259.064911,"2,269"
2019-12-11,259.305969,"2,270"
2019-12-12,261.373199,"2,271"
2019-12-13,261.521484,"2,272"
2019-12-16,262.411438,"2,275"
2019-12-17,262.717316,"2,276"
2019-12-18,262.541199,"2,277"
2019-12-19,263.699982,"2,278"
2019-12-20,264.50528,"2,279"
2019-12-23,265.314362,"2,282"
2019-12-24,265.016693,"2,283"
2019-12-26,265.99292,"2,285"
2019-12-27,266.244019,"2,286"
2019-12-30,264.570343,"2,289"
2019-12-31,265.100342,"2,290"
2020-01-02,268.373383,"2,292"
2020-01-03,266.234772,"2,293"
2020-01-06,266.848389,"2,296"
2020-01-07,265.695374,"2,297"
2020-01-08,267.238953,"2,298"
2020-01-09,269.247467,"2,299"
2020-01-10,268.020081,"2,300"
2020-01-13,268.745331,"2,303"
2020-01-14,268.931366,"2,304"
2020-01-15,269.982086,"2,305"
2020-01-16,272.381073,"2,306"
2020-01-17,272.825684,"2,307"
2020-01-21,271.486023,"2,311"
2020-01-22,271.46756,"2,312"
2020-01-23,271.2164,"2,313"
2020-01-24,269.597717,"2,314"
2020-01-27,265.467133,"2,317"
2020-01-28,267.262573,"2,318"
2020-01-29,267.262573,"2,319"
2020-01-30,268.425415,"2,320"
2020-01-31,262.732208,"2,321"
2020-02-03,264.18335,"2,324"
2020-02-04,267.960297,"2,325"
2020-02-05,272.444397,"2,326"
2020-02-06,273.262878,"2,327"
2020-02-07,270.890778,"2,328"
2020-02-10,272.528015,"2,331"
2020-02-11,272.518799,"2,332"
2020-02-12,275.104828,"2,333"
2020-02-13,274.267761,"2,334"
2020-02-14,274.007172,"2,335"
2020-02-18,272.528015,"2,339"
2020-02-19,273.59787,"2,340"
2020-02-20,272.369843,"2,341"
2020-02-21,270.283997,"2,342"
2020-02-24,260.787598,"2,345"
2020-02-25,252.522507,"2,346"
2020-02-26,251.627075,"2,347"
2020-02-27,240.209,"2,348"
2020-02-28,237.46637,"2,349"
2020-03-02,249.098969,"2,352"
2020-03-03,241.888031,"2,353"
2020-03-04,252.699722,"2,354"
2020-03-05,243.903061,"2,355"
2020-03-06,241.468262,"2,356"
2020-03-09,222.690002,"2,359"
2020-03-10,233.651062,"2,360"
2020-03-11,220.003433,"2,361"
2020-03-12,197.866882,"2,362"
2020-03-13,216.523865,"2,363"
2020-03-16,188.892853,"2,366"
2020-03-17,199.135574,"2,367"
2020-03-18,186.001022,"2,368"
2020-03-19,187.792099,"2,369"
2020-03-20,179.550858,"2,370"
2020-03-23,174.152237,"2,373"
2020-03-24,193.342392,"2,374"
2020-03-25,198.413544,"2,375"
2020-03-26,210.586365,"2,376"
2020-03-27,202.427567,"2,377"
2020-03-30,208.743134,"2,380"
2020-03-31,205.122147,"2,381"
2020-04-01,195.906021,"2,382"
2020-04-02,200.191284,"2,383"
2020-04-03,197.047546,"2,384"
2020-04-06,211.952332,"2,387"
2020-04-07,212.017929,"2,388"
2020-04-08,219.250473,"2,389"
2020-04-09,221.8797,"2,390"
2020-04-13,218.904297,"2,394"
2020-04-14,224.256165,"2,395"
2020-04-15,219.952164,"2,396"
2020-04-16,220.19548,"2,397"
2020-04-17,226.954575,"2,398"
2020-04-20,221.53418,"2,401"
2020-04-21,215.524063,"2,402"
2020-04-22,219.783615,"2,403"
2020-04-23,220.064407,"2,404"
2020-04-24,222.648224,"2,405"
2020-04-27,225.915436,"2,408"
2020-04-28,225.700134,"2,409"
2020-04-29,230.717941,"2,410"
2020-04-30,227.694168,"2,411"
2020-05-01,222.133347,"2,412"
2020-05-04,222.264389,"2,415"
2020-05-05,223.556305,"2,416"
2020-05-06,221.740143,"2,417"
2020-05-07,223.659302,"2,418"
2020-05-08,228.068649,"2,419"
2020-05-11,227.076279,"2,422"
2020-05-12,222.882324,"2,423"
2020-05-13,217.958038,"2,424"
2020-05-14,221.637222,"2,425"
2020-05-15,222.220642,"2,426"
2020-05-18,230.68129,"2,429"
2020-05-19,227.20134,"2,430"
2020-05-20,230.493744,"2,431"
2020-05-21,229.827698,"2,432"
2020-05-22,229.696381,"2,433"
2020-05-26,234.73349,"2,437"
2020-05-27,239.911209,"2,438"
2020-05-28,238.579254,"2,439"
2020-05-29,238.52298,"2,440"
2020-06-01,239.442245,"2,443"
2020-06-02,241.862289,"2,444"
2020-06-03,246.852386,"2,445"
2020-06-04,247.002426,"2,446"
2020-06-05,254.703415,"2,447"
2020-06-08,259.149414,"2,450"
2020-06-09,256.429291,"2,451"
2020-06-10,253.690277,"2,452"
2020-06-11,236.403107,"2,453"
2020-06-12,240.82103,"2,454"
2020-06-15,242.331268,"2,457"
2020-06-16,247.462112,"2,458"
2020-06-17,245.586105,"2,459"
2020-06-18,245.239044,"2,460"
2020-06-19,243.454483,"2,461"
2020-06-22,244.884384,"2,464"
2020-06-23,245.9944,"2,465"
2020-06-24,239.531754,"2,466"
2020-06-25,242.17511,"2,467"
2020-06-26,235.533752,"2,468"
2020-06-29,240.73584,"2,471"
2020-06-30,242.579605,"2,472"
2020-07-01,242.052887,"2,473"
2020-07-02,243.097153,"2,474"
2020-07-06,247.405502,"2,478"
2020-07-07,243.680237,"2,479"
2020-07-08,245.260635,"2,480"
2020-07-09,241.986954,"2,481"
2020-07-10,245.354721,"2,482"
2020-07-13,245.561646,"2,485"
2020-07-14,250.782486,"2,486"
2020-07-15,252.965088,"2,487"
2020-07-16,251.610413,"2,488"
2020-07-17,251.121841,"2,489"
2020-07-20,251.197205,"2,492"
2020-07-21,252.628082,"2,493"
2020-07-22,254.172043,"2,494"
2020-07-23,251.074707,"2,495"
2020-07-24,249.191742,"2,496"
2020-07-27,250.378052,"2,499"
2020-07-28,248.476379,"2,500"
2020-07-29,249.954453,"2,501"
2020-07-30,247.864334,"2,502"
2020-07-31,248.87175,"2,503"
2020-08-03,251.102966,"2,506"
2020-08-04,252.694031,"2,507"
2020-08-05,256.07373,"2,508"
2020-08-06,257.862671,"2,509"
2020-08-07,258.540314,"2,510"
2020-08-10,261.854309,"2,513"
2020-08-11,260.9599,"2,514"
2020-08-12,263.643005,"2,515"
2020-08-13,263.059479,"2,516"
2020-08-14,263.417084,"2,517"
2020-08-17,262.616913,"2,520"
2020-08-18,261.910858,"2,521"
2020-08-19,261.185944,"2,522"
2020-08-20,261.600098,"2,523"
2020-08-21,263.509796,"2,524"
2020-08-24,267.179993,"2,527"
2020-08-25,266.651611,"2,528"
2020-08-26,267.415802,"2,529"
2020-08-27,268.934875,"2,530"
2020-08-28,270.501068,"2,531"
2020-08-31,268.217834,"2,534"
2020-09-01,270.585999,"2,535"
2020-09-02,274.756165,"2,536"
2020-09-03,267.330933,"2,537"
2020-09-04,265.849579,"2,538"
2020-09-08,259.858521,"2,542"
2020-09-09,264.037994,"2,543"
2020-09-10,260.20755,"2,544"
2020-09-11,261.434021,"2,545"
2020-09-14,264.679718,"2,548"
2020-09-15,264.726929,"2,549"
2020-09-16,265.151428,"2,550"
2020-09-17,263.773926,"2,551"
2020-09-18,261.520233,"2,552"
2020-09-21,256.715729,"2,555"
2020-09-22,258.011444,"2,556"
